crn,rdwy_seq_num,adj_rdwy_seq,county,route,segment,offset,rdwy_orient,lane_count,speed_limit,street_name,road_owner,access_ctrl,year_county
2017043787,5,5,67,,,,W,2,25,HARTEL AV,4,,2017-67
2017043792,4,3,67,,,,S,2,25,WARFIELD ST,4,,2017-67
2017043808,3,4,67,,,,S,2,25,8TH ST,4,,2017-67
2017041409,3,4,67,,,,E,2,25,LEBANON AV,4,,2017-67
2017041415,3,3,67,,,,E,2,25,DEVEREAUX AV,4,,2017-67
2017041416,3,3,67,1,240,0,N,3,40,ROOSEVELT BL,2,3,2017-67
2017043835,3,4,67,,,,N,2,30,MUSGRAVE ST,4,,2017-67
2017043852,4,3,67,,,,E,1,25,PINE ST,4,,2017-67
2017043861,6,6,67,,,,N,2,25,RISING SUN AV,4,,2017-67
2017043553,3,3,67,8009,260,238,S,1,30,RAMP RD,2,1,2017-67
2017038511,3,3,67,76,3435,1648,W,3,50,SCHUYLKILL EX,1,1,2017-67
2017036577,6,6,67,,,,W,5,25,PRESIDENTIAL BL,4,,2017-67
2017041294,3,4,67,,,,E,2,,WYNNEFIELD AV,4,,2017-67
2017041314,3,3,67,1008,70,334,E,2,25,LEVICK ST,2,3,2017-67
2017043774,3,3,67,1004,30,1927,E,2,30,ERIE AV,2,3,2017-67
2017043775,4,3,67,,,,S,2,25,47TH ST,4,,2017-67
2017043783,5,5,67,,,,N,2,25,LEONARD ST,4,,2017-67
2017043788,3,3,67,1004,140,0,S,2,30,TORRESDALE AV,2,3,2017-67
2017043790,3,3,67,,,,N,2,25,TWENTYSECOND ST,4,,2017-67
2017043798,4,3,67,,,,S,2,25,FRONT ST,4,,2017-67
2017034048,6,6,67,,,,N,2,25,FRONT ST,4,,2017-67
2017041411,4,4,67,3015,101,1114,S,2,25,SIXTYTHIRD ST,2,3,2017-67
2017041411,5,5,67,3018,40,0,W,2,45,HAVERFORD AV,2,3,2017-67
2017041419,4,4,67,,,,E,1,25,INGERSOLL ST,4,,2017-67
2017041421,3,4,67,,,,S,1,25,24TH ST,4,,2017-67
2017043817,3,3,67,4001,130,0,N,2,35,HENRY AV,2,3,2017-67
2017043817,4,4,67,4001,131,0,S,2,35,HENRY AV,2,3,2017-67
2017043818,3,3,67,2001,90,1307,N,2,30,CHRISTOPHER COLUMBUS BL,2,3,2017-67
2017041430,3,3,67,1,60,0,N,2,35,CITY AV,2,3,2017-67
2017043861,4,4,67,232,63,242,S,2,25,OXFORD AV,2,3,2017-67
2017043871,5,5,67,,,,N,1,25,18TH ST,4,,2017-67
2017041124,3,3,67,1,291,2020,S,3,45,ROOSEVELT BL,2,3,2017-67
2017041128,4,3,67,,,,E,2,25,CEDAR AV,4,,2017-67
2017043791,3,3,67,3021,70,2750,N,2,30,GRAYS FERRY AV,2,3,2017-67
2017043793,3,4,67,,,,E,1,25,DICKINSON ST,4,,2017-67
2017043795,3,4,67,,,,S,2,35,WISTER ST,4,,2017-67
2017043804,4,4,67,3003,51,2370,S,2,30,UNIVERSITY AV,2,3,2017-67
2017043810,4,4,67,2004,11,1245,W,1,25,MARKET ST,2,3,2017-67
2017043814,3,4,67,,,,E,2,25,WILLOWS AV,4,,2017-67
2017043815,4,3,67,,,,E,2,25,WOODLAND AV,4,,2017-67
2017040502,3,3,67,676,3,1365,W,3,55,VINE STREET EX,1,1,2017-67
2017041405,3,4,67,,,,W,1,25,ARCH ST,4,,2017-67
2017041407,3,3,67,1008,70,0,W,2,25,LEVICK ST,2,3,2017-67
2017041414,5,5,67,1005,83,160,W,1,15,E WYOMING AV,2,3,2017-67
2017041423,3,4,67,,,,W,1,25,YORK ST,4,,2017-67
2017041424,3,3,67,,,,W,2,25,HUNTING PARK AV,4,,2017-67
2017041869,3,3,67,95,325,1094,S,3,55,DELAWARE EX,1,1,2017-67
2017043819,4,4,67,,,,N,2,25,13TH ST,4,,2017-67
2017041430,4,4,67,1,61,0,S,2,35,CITY AV,2,3,2017-67
2017043824,3,4,67,,,,E,1,25,JOHNSON ST,4,,2017-67
2017043836,3,3,67,2009,40,310,N,2,30,ARAMINGO AV,2,3,2017-67
2017041116,4,4,67,,,,W,1,25,HAINES ST,4,,2017-67
2017041134,7,6,67,,,,S,2,25,MACALESTER ST,4,,2017-67
2017043242,3,3,67,676,5,143,W,3,55,VINE STREET EX,1,1,2017-67
2017041883,3,3,67,95,301,1748,S,4,55,DELAWARE EX,1,1,2017-67
2017036577,4,4,67,1,81,0,S,3,35,CITY AV,2,3,2017-67
2017041308,4,3,67,,,,S,2,25,LINCOLN DR,4,,2017-67
2017041310,3,3,67,,,,S,1,25,N 26TH ST,4,,2017-67
2017041313,3,4,67,,,,E,2,25,TYSON AV,4,,2017-67
2017041316,5,5,67,3033,10,0,W,2,25,HUNTING PARK AV,2,3,2017-67
2017041321,3,4,67,,,,N,2,25,60TH ST,4,,2017-67
2017041344,3,3,67,2016,40,2289,E,2,30,ALLEGHENY AV,2,3,2017-67
2017041369,4,4,67,,,,W,2,25,BRIDGE ST,4,,2017-67
2017041370,3,3,67,1005,140,1105,N,2,30,CASTOR AV,2,3,2017-67
2017041339,5,5,67,,,,S,2,25,61ST ST,4,,2017-67
2017041343,3,3,67,1,160,1054,N,3,40,ROOSEVELT BL,2,3,2017-67
2017041382,3,3,67,1003,21,318,S,2,35,WHITAKER AV,2,3,2017-67
2017041383,3,3,67,2014,30,0,E,2,30,LEHIGH AV,2,3,2017-67
2017043798,3,4,67,,,,E,2,25,HUNTING PARK AV,4,,2017-67
2017043802,3,3,67,4001,50,461,N,2,35,HENRY AV,2,3,2017-67
2017043804,5,5,67,,,,E,2,25,CURIE BL,4,,2017-67
2017043811,3,3,67,1001,150,1346,S,2,35,VERREE RD,2,3,2017-67
2017043813,3,3,67,3021,10,1647,E,2,25,ELMWOOD AV,2,3,2017-67
2017041412,4,3,67,,,,N,2,25,GERMANTOWN AV,4,,2017-67
2017041416,4,4,67,,,,E,2,25,DEVEREAUX AV,4,,2017-67
2017043820,3,3,67,2004,20,904,E,2,25,MARKET ST,2,3,2017-67
2017043821,5,4,67,,,,S,2,25,52ND ST,4,,2017-67
2017043850,3,3,67,2001,31,104,S,2,30,OREGON AV,2,3,2017-67
2017043854,3,3,67,,,,E,2,25,RACE ST,4,,2017-67
2017043857,3,3,67,1008,60,2074,E,4,25,LEVICK ST,2,3,2017-67
2017043859,3,4,67,,,,N,2,30,LORETTO AV,4,,2017-67
2017041116,3,3,67,4007,40,602,N,2,25,WAYNE AV,2,3,2017-67
2017041125,5,5,67,,,,N,2,25,WECCACOE AV,4,,2017-67
2017036259,3,3,67,1,71,2378,S,2,35,CITY AV,2,3,2017-67
2017042026,3,3,67,3,71,2120,W,2,35,WALNUT ST,2,3,2017-67
2017041287,4,4,67,,,,S,1,25,N 21ST ST,4,,2017-67
2017041305,3,3,67,6001,260,0,N,3,40,ROOSEVELT BL,2,3,2017-67
2017041320,4,4,67,73,41,1491,W,2,30,COTTMAN AV,2,3,2017-67
2017041344,4,4,67,,,,S,2,25,PARK AV,4,,2017-67
2017041339,4,4,67,3019,65,2013,W,2,35,PASSYUNK AV,2,3,2017-67
2017041376,3,3,67,,,,E,2,25,CECIL B MOORE AV,4,,2017-67
2017041388,3,3,67,,,,S,2,30,SUMMERDALE AV,4,,2017-67
2017041396,4,4,67,291,141,1414,S,2,25,BROAD ST,2,3,2017-67
2017041398,5,4,67,,,,E,2,25,69TH AV,4,,2017-67
2017041400,3,3,67,1,240,2712,N,3,40,ROOSEVELT BL,2,3,2017-67
2017042378,3,3,67,95,250,7,N,4,55,DELAWARE EX,1,1,2017-67
2017000822,3,3,67,1013,50,0,N,2,30,ACADEMY RD,2,3,2017-67
2017043786,3,3,67,76,3440,96,E,2,50,SCHUYLKILL EX,1,1,2017-67
2017043795,4,3,67,,,,N,2,35,BELFIELD AV,4,,2017-67
2017040502,4,4,67,8012,250,0,W,1,,RAMP C RD,2,1,2017-67
2017043819,3,3,67,3007,20,1789,N,2,25,ARCH ST,2,3,2017-67
2017041425,4,4,67,,,,N,1,25,ALMOND ST,4,,2017-67
2017043820,6,6,67,,,,S,2,35,6TH ST,4,,2017-67
2017043845,3,3,67,3009,80,2834,N,2,35,RIDGE AV,2,3,2017-67
2017043847,3,3,67,2016,10,1286,W,2,25,ALLEGHENY AV,2,3,2017-67
2017043855,4,3,67,,,,S,1,25,19TH ST,4,,2017-67
2017043867,3,3,67,3022,10,1200,E,3,25,PENN SQ,2,3,2017-67
2017038983,5,3,67,3,80,0,E,3,35,CHESTNUT ST,2,3,2017-67
2017041097,3,3,67,1003,10,0,N,2,25,B ST,2,3,2017-67
2017041127,3,3,67,,,,E,2,35,SPRUCE ST,4,,2017-67
2017041130,3,3,67,4002,70,1769,S,2,35,STENTON AV,2,3,2017-67
2017040653,3,4,67,,,,N,1,25,N SYDENHAM ST,4,,2017-67
2017041287,3,3,67,2016,30,1364,W,2,30,ALLEGHENY AV,2,3,2017-67
2017041288,3,3,67,6001,271,1645,S,3,45,ROOSEVELT BL,2,3,2017-67
2017041294,4,3,67,,,,W,2,25,PARKSIDE BL,4,,2017-67
2017041315,4,4,67,13,161,2102,W,2,30,HUNTING PARK AV,2,3,2017-67
2017041316,3,3,67,3007,124,0,N,2,35,KELLY DR,2,3,2017-67
2017041320,3,3,67,73,40,1499,E,2,30,COTTMAN AV,2,3,2017-67
2017041355,5,5,67,,,,E,1,25,BROWN ST,4,,2017-67
2017041357,4,3,67,,,,W,2,25,MOREFIELD RD,4,,2017-67
2017041364,3,3,67,611,160,287,N,2,30,BROAD ST,2,3,2017-67
2017041366,3,4,67,,,,S,2,25,EASTWOOD ST,4,,2017-67
2017041366,4,3,67,,,,E,2,25,ROBBINS ST,4,,2017-67
2017041370,4,4,67,1005,141,1105,S,2,30,CASTOR AV,2,3,2017-67
2017041323,4,4,67,,,,S,2,25,FRONTENAC ST,4,,2017-67
2017041337,3,3,67,4003,90,0,E,2,30,ALLENS LN,2,3,2017-67
2017041392,3,3,67,4001,60,592,N,2,25,HENRY AV,2,3,2017-67
2017005890,3,3,67,95,311,1937,S,4,55,DELAWARE EX,1,1,2017-67
2017005892,3,3,67,95,294,1889,N,4,55,DELAWARE EX,1,1,2017-67
2017000822,4,4,67,1013,51,0,S,2,30,ACADEMY RD,2,3,2017-67
2017043774,4,4,67,,,,S,1,25,6TH ST,4,,2017-67
2017043783,3,3,67,73,40,2494,E,2,30,COTTMAN AV,2,3,2017-67
2017043796,3,3,67,2008,51,1426,W,2,30,GIRARD AV,2,3,2017-67
2017043797,3,3,67,1003,10,2143,N,2,25,B ST,2,3,2017-67
2017034048,5,5,67,,,,N,2,25,COVINGTON RD,4,,2017-67
2017041409,4,3,67,,,,N,2,25,56TH ST,4,,2017-67
2017041412,3,4,67,,,,E,2,25,CAMBRIA ST,4,,2017-67
2017041426,3,3,67,611,20,104,N,3,30,BROAD ST,2,3,2017-67
2017041426,5,5,67,2676,11,492,W,3,25,VINE ST,2,3,2017-67
2017041427,3,3,67,4017,60,1823,E,2,35,UPSAL ST,2,3,2017-67
2017043821,4,5,67,,,,W,2,25,KINGSESSING AV,4,,2017-67
2017043832,3,4,67,,,,W,1,25,SANSOM ST,4,,2017-67
2017043842,3,3,67,,,,N,1,25,REESE ST,4,,2017-67
2017043844,5,5,67,,,,N,2,25,B ST,4,,2017-67
2017043845,5,4,67,,,,N,2,25,HERITAGE DR,4,,2017-67
2017043856,5,4,67,291,101,0,W,3,35,PENROSE AV,2,3,2017-67
2017038983,3,5,67,13,60,2659,N,2,25,THIRTYEIGHTH ST,2,3,2017-67
2017038983,6,4,67,3,81,0,W,3,35,CHESTNUT ST,2,3,2017-67
2017041122,3,3,67,,,,S,2,25,KENSINGTON AV,4,,2017-67
2017041134,4,4,67,1003,31,1209,S,2,35,WHITAKER AV,2,3,2017-67
2017041886,3,3,67,76,3445,2231,W,2,50,SCHUYLKILL EX,1,1,2017-67
2017038684,3,3,67,676,3,2452,W,3,55,VINE STREET EX,1,1,2017-67
2017042017,4,4,67,,,,S,1,25,N 32ND ST,4,,2017-67
2017043822,3,3,67,4002,50,0,N,2,40,STENTON AV,2,3,2017-67
2017043828,3,4,67,,,,E,1,,UNKNOWN AL,4,,2017-67
2017043828,4,3,67,,,,S,2,25,REVERE ST,4,,2017-67
2017043840,3,3,67,3007,125,618,S,2,35,KELLY DR,2,3,2017-67
2017043856,6,6,67,3003,11,0,S,2,40,TWENTYSIXTH ST,2,3,2017-67
2017043857,4,5,67,,,,N,2,25,CLARIDGE ST,4,,2017-67
2017043866,4,3,67,,,,N,2,25,20TH ST,4,,2017-67
2017043868,4,4,67,3007,75,643,S,2,35,KELLY DR,2,3,2017-67
2017043870,4,3,67,,,,W,1,25,SPRUCE ST,4,,2017-67
2017038511,4,4,67,8010,250,615,W,1,20,RAMP F RD,2,1,2017-67
2017041293,3,3,67,3015,110,1959,N,2,25,SIXTYTHIRD ST,2,3,2017-67
2017041293,4,4,67,3015,111,1957,S,2,30,SIXTYTHIRD ST,2,3,2017-67
2017041295,3,3,67,291,60,8748,E,2,45,PENROSE AV,2,3,2017-67
2017041303,3,3,67,,,,E,2,25,E PRICE ST,4,,2017-67
2017041312,3,3,67,1004,160,444,E,2,30,TORRESDALE AV,2,3,2017-67
2017041314,4,4,67,,,,S,2,25,LAWNDALE AV,4,,2017-67
2017041318,3,3,67,1020,30,100,E,2,35,PHILMONT AV,2,3,2017-67
2017041365,3,3,67,4001,40,774,N,2,35,HENRY AV,2,3,2017-67
2017041326,3,3,67,3007,111,2867,S,2,35,KELLY DR,2,3,2017-67
2017041336,5,4,67,,,,S,1,25,HEISKELL ST,4,,2017-67
2017041373,3,3,67,,,,N,1,25,N 7TH ST,4,,2017-67
2017041374,3,4,67,,,,S,2,25,A ST,4,,2017-67
2017041386,3,4,67,,,,E,1,25,STEWART ST,4,,2017-67
2017041390,4,3,67,3009,100,172,N,2,25,RIDGE AV,2,3,2017-67
2017041394,3,3,67,1,221,0,S,3,40,ROOSEVELT BL,2,3,2017-67
2017041401,3,3,67,1007,50,798,N,2,35,TACONY ST,2,3,2017-67
2017043799,3,3,67,3015,60,507,N,4,25,COBBS CREEK PY,2,3,2017-67
2017043800,4,3,67,,,,W,1,25,MOYAMENSING AV,4,,2017-67
2017043805,3,3,67,3010,31,2573,W,1,25,MARKET ST,2,3,2017-67
2017041411,3,3,67,3015,100,1113,N,2,35,SIXTYTHIRD ST,2,3,2017-67
2017041428,3,3,67,30,70,166,E,2,50,GIRARD AV,2,3,2017-67
2017041430,5,5,67,,,,N,1,25,50TH ST,4,,2017-67
2017043821,3,3,67,3023,50,0,S,2,25,CHESTER AV,2,3,2017-67
2017035851,3,4,67,,,,N,2,25,OGONTZ AV,4,,2017-67
2017043775,3,4,67,,,,W,1,25,SANSOM ST,4,,2017-67
2017043782,3,3,67,232,32,1115,E,2,25,OXFORD AV,2,3,2017-67
2017043799,4,4,67,,,,U,2,25,S 59TH ST,4,,2017-67
2017034048,4,4,67,1002,31,1219,W,2,35,CHELTENHAM AV,2,3,2017-67
2017041407,4,4,67,,,,N,2,25,TABOR AV,4,,2017-67
2017043823,3,3,67,4007,90,2691,N,2,25,GERMANTOWN AV,2,3,2017-67
2017043831,3,3,67,1007,51,627,S,2,35,TACONY ST,2,3,2017-67
2017043833,3,3,67,73,70,676,E,2,30,COTTMAN AV,2,3,2017-67
2017043841,3,3,67,3007,,,S,2,35,KELLY DR,2,,2017-67
2017043848,3,3,67,,,,S,1,25,S 8TH ST,4,,2017-67
2017043852,3,4,67,,,,N,2,25,5TH ST,4,,2017-67
2017043857,5,4,67,,,,N,2,25,MARTINS MILL RD,4,,2017-67
2017043868,5,5,67,,,,E,2,25,FAIRMOUNT AV,4,,2017-67
2017043871,4,4,67,2676,5,893,W,2,25,VINE ST,2,3,2017-67
2017043872,3,3,67,2006,60,1428,E,2,30,PENNSYLVANIA AV,2,3,2017-67
2017038983,4,6,67,13,61,2635,S,2,25,THIRTYEIGHTH ST,2,3,2017-67
2017041118,3,3,67,,,,E,2,25,RED LION RD,4,,2017-67
2017041133,3,3,67,1004,50,610,W,2,30,ERIE AV,2,3,2017-67
2017041286,3,3,67,611,121,1183,S,2,30,BROAD ST,2,3,2017-67
2017041296,3,3,67,3025,10,915,E,2,35,LINDBERGH BL,2,3,2017-67
2017041305,4,4,67,,,,E,2,25,TYSON AV,4,,2017-67
2017036574,3,3,67,1,51,1015,S,2,35,CITY AV,2,3,2017-67
2017036577,5,5,67,8002,750,0,W,1,,RAMP H RD,2,1,2017-67
2017041298,3,3,67,2006,80,777,E,2,25,SPRING GARDEN ST,2,3,2017-67
2017041298,5,5,67,,,,S,2,25,8TH ST,4,,2017-67
2017041308,3,4,67,,,,W,2,25,MORRIS ST,4,,2017-67
2017041320,6,6,67,1009,101,0,S,2,25,BUSTLETON AV,2,3,2017-67
2017041361,3,3,67,291,27,1604,W,2,40,BARTRAM AV,2,3,2017-67
2017041369,3,3,67,1,221,605,S,3,40,ROOSEVELT BL,2,3,2017-67
2017042345,3,3,67,95,135,348,S,4,55,DELAWARE EX,1,1,2017-67
2017041378,4,3,67,,,,W,2,25,DUNCANNON AV,4,,2017-67
2017041395,3,4,67,,,,W,2,25,WASHINGTON AV,4,,2017-67
2017041399,3,3,67,13,241,1457,S,2,30,FRANKFORD AV,2,3,2017-67
2017008883,3,3,67,95,285,1071,S,4,55,DELAWARE EX,1,1,2017-67
